,Employees,Month,Year
0,10.2,October,1999
1,9.9,September,1999
2,10.1,August,1999
3,10.0,July,1999
4,9.9,June,1999
5,9.9,May,1999
6,9.7,October,1998
7,9.9,September,1998
8,9.9,August,1998
9,9.9,July,1998
10,9.6,June,1998
11,9.6,May,1998
12,9.3,October,1997
13,9.5,September,1997
14,9.4,August,1997
15,9.5,July,1997
16,9.4,June,1997
17,9.4,May,1997
18,9.2,October,1996
19,9.1,September,1996
20,9.2,August,1996
21,9.2,July,1996
22,9.2,June,1996
23,9.2,May,1996
24,8.8,October,1995
25,9.0,September,1995
26,8.9,August,1995
27,8.7,July,1995
28,8.6,June,1995
29,8.6,May,1995
30,8.4,October,1994
31,8.5,September,1994
32,8.5,August,1994
33,8.4,July,1994
34,8.4,June,1994
35,8.4,May,1994
36,8.2,October,1993
37,8.2,September,1993
38,8.1,August,1993
39,8.1,July,1993
40,8.2,June,1993
41,8.1,May,1993
42,8.0,October,1992
43,8.0,September,1992
44,8.0,August,1992
45,8.0,July,1992
46,7.8,June,1992
47,7.8,May,1992
48,7.6,October,1991
49,7.5,September,1991
50,7.5,August,1991
51,7.4,July,1991
52,7.4,June,1991
53,7.3,May,1991
54,6.5,October,1990
55,6.6,September,1990
56,6.5,August,1990
57,6.5,July,1990
58,6.4,June,1990
59,6.3,May,1990
60,14.0,October,2009
61,14.1,September,2009
62,14.1,August,2009
63,14.1,July,2009
64,13.9,June,2009
65,13.9,May,2009
66,13.4,October,2008
67,13.4,September,2008
68,13.4,August,2008
69,13.2,July,2008
70,13.2,June,2008
71,13.1,May,2008
72,12.8,October,2007
73,12.9,September,2007
74,12.8,August,2007
75,12.7,July,2007
76,12.6,June,2007
77,12.6,May,2007
78,12.1,October,2006
79,12.2,September,2006
80,12.1,August,2006
81,12.1,July,2006
82,12.0,June,2006
83,12.0,May,2006
84,11.7,October,2005
85,11.9,September,2005
86,11.9,August,2005
87,11.8,July,2005
88,11.9,June,2005
89,11.6,May,2005
90,11.5,October,2004
91,11.5,September,2004
92,11.5,August,2004
93,11.4,July,2004
94,11.4,June,2004
95,11.3,May,2004
96,10.9,October,2003
97,11.0,September,2003
98,11.1,August,2003
99,11.1,July,2003
100,11.0,June,2003
101,11.0,May,2003
102,10.7,October,2002
103,10.7,September,2002
104,10.8,August,2002
105,10.8,July,2002
106,10.7,June,2002
107,10.7,May,2002
108,10.5,October,2001
109,10.6,September,2001
110,10.7,August,2001
111,10.7,July,2001
112,10.7,June,2001
113,10.7,May,2001
114,10.7,October,2000
115,10.4,September,2000
116,10.1,August,2000
117,10.3,July,2000
118,10.2,June,2000
119,10.1,May,2000
120,16.3,October,2019
121,16.3,September,2019
122,16.4,August,2019
123,16.3,July,2019
124,16.2,June,2019
125,16.1,May,2019
126,15.7,October,2018
127,15.7,September,2018
128,15.8,August,2018
129,15.8,July,2018
130,15.8,June,2018
131,15.8,May,2018
132,15.8,October,2017
133,16.0,September,2017
134,16.0,August,2017
135,15.9,July,2017
136,15.9,June,2017
137,15.9,May,2017
138,15.8,October,2016
139,15.7,September,2016
140,15.7,August,2016
141,15.6,July,2016
142,15.5,June,2016
143,15.5,May,2016
144,15.1,October,2015
145,15.1,September,2015
146,15.1,August,2015
147,15.0,July,2015
148,15.0,June,2015
149,14.9,May,2015
150,14.4,October,2014
151,14.4,September,2014
152,14.4,August,2014
153,14.5,July,2014
154,14.4,June,2014
155,14.4,May,2014
156,14.4,October,2013
157,14.3,September,2013
158,14.3,August,2013
159,14.4,July,2013
160,14.3,June,2013
161,14.3,May,2013
162,14.3,October,2012
163,14.4,September,2012
164,14.5,August,2012
165,14.4,July,2012
166,14.3,June,2012
167,14.3,May,2012
168,14.3,October,2011
169,14.4,September,2011
170,14.4,August,2011
171,14.4,July,2011
172,14.2,June,2011
173,14.0,May,2011
174,14.2,October,2010
175,14.2,September,2010
176,14.3,August,2010
177,14.3,July,2010
178,14.3,June,2010
179,14.2,May,2010
180,17.6,October,2023
181,17.6,September,2023
182,17.5,August,2023
183,17.4,July,2023
184,17.2,June,2023
185,17.2,May,2023
186,16.7,October,2022
187,16.7,September,2022
188,16.7,August,2022
189,16.6,July,2022
190,16.8,June,2022
191,16.7,May,2022
192,16.8,October,2021
193,16.7,September,2021
194,16.7,August,2021
195,16.7,July,2021
196,16.7,June,2021
197,16.6,May,2021
198,16.5,October,2020
199,16.5,September,2020
200,16.3,August,2020
201,16.2,July,2020
202,16.1,June,2020
203,15.4,May,2020
