,Fire_Year,smoke_impact,GIS_Acres
0,1964,0.2696041592070512,441175.6085354392
1,1965,0.17219975348268565,238800.07257695077
2,1966,0.4882686734715116,696737.2893495199
3,1967,0.32730576125981814,481960.05240715935
4,1968,0.20757851130557492,344995.0915810176
5,1969,0.13780546883277367,211430.42153782243
6,1970,0.5842486302876398,952056.7601463737
7,1971,0.4260976825219953,604409.842788134
8,1972,0.21851372840738398,356437.3730320811
9,1973,0.4543193735241902,652176.6750952188
10,1974,0.25441357856809804,401477.6716805321
11,1975,0.23391873661052326,382516.4843606598
12,1976,0.35511884704895924,497018.14930957067
13,1977,0.3663878395170128,562758.6814657616
14,1978,0.11141078060023059,189093.39649132613
15,1979,0.524950316775749,815693.1473202863
16,1980,0.5228221403908401,814486.7482831108
17,1981,0.9568098751765302,1280714.4787504564
18,1982,0.27243492405763875,403987.90130618826
19,1983,0.691881030497303,919112.730587774
20,1984,1.0048428433702834,1362538.9630457975
21,1985,1.9349836556194309,2746958.0096184625
22,1986,1.1791136957245931,1566180.2356143242
23,1987,1.416494125118248,2142387.109264125
24,1988,3.6151805198995346,3926055.0320845824
25,1989,0.8118527790329183,1366592.5684760439
26,1990,0.8150876264236904,1248168.2809241582
27,1991,0.5689844579614262,834996.4254120629
28,1992,1.1069012464014232,1404349.9117337759
29,1993,0.49096528159762615,989216.4356562379
30,1994,2.2225285367921446,3151215.7217647037
31,1995,0.8336003937703652,1390530.8594827044
32,1996,3.4396078810126274,4922700.243487132
33,1997,0.3911553207591329,668018.7640120375
34,1998,0.823420207989745,1330109.1724205606
35,1999,2.819470665535543,3974024.822333542
36,2000,4.552271923602,5873434.962214129
37,2001,1.8002514392690214,2513526.1561613753
38,2002,3.047874055108843,4389436.271340093
39,2003,2.5572159523898916,3846963.816094298
40,2004,0.7690841811143999,1300961.918678743
41,2005,2.802235661034351,4127113.532286531
42,2006,5.336158940591525,7531362.043563325
43,2007,6.5326534910737175,7563110.303486622
44,2008,2.1643447065933596,3383959.1739147888
45,2009,1.2951733484439356,2259959.9494374306
46,2010,1.3625054694924457,1899259.504178858
47,2011,3.418752391046501,6168195.145249231
48,2012,7.766340376532737,8472880.68577296
49,2013,2.1356061628263743,2941549.3003448746
50,2014,2.857746572753959,4196531.292947014
51,2015,3.915168223039132,5283006.372340702
52,2016,3.1401799753446613,5385837.0221983725
53,2017,6.463822133424828,9646438.596603375
54,2018,5.381148015238597,7527547.001155228
55,2019,1.313332447139303,2041146.4951904223
56,2020,8.033176625200756,9381455.647278808
